"file name,","file size,","number of words,","% negative,","# of alphabetic,","# of digits,","# of numbers,","average word length,",vocabulary
./files\20140725_10-K_edgar_data_320187_0000320187-14-000097_1.txt,21966330,927693,2.107701578000481,13141463,1951223,308293,5.076450937971937,1988
./files\20140731_10-K_edgar_data_789019_0001193125-14-289961_1.txt,18507199,581784,1.7477276790011413,10215586,1494007,335096,4.8319926295669875,1995
./files\20140808_10-K_edgar_data_80424_0000080424-14-000057_1.txt,22989244,929739,1.5368829316614663,13651830,2056196,327746,5.0487997169098,1758
./files\20140909_10-K_edgar_data_858877_0000858877-14-000029_1.txt,30333205,1258152,1.9903795407868046,18115852,2707543,425132,5.096897672141363,1995
./files\20141027_10-K_edgar_data_320193_0001193125-14-383437_1.txt,12082626,388800,1.8629115226337447,6798677,944499,179762,4.870280349794239,1787
./files\20141121_10-K_edgar_data_1403161_0001403161-14-000017_1.txt,22535629,976764,2.0988693276984,13577964,1921747,298987,4.987614203635679,2248
./files\20141218_10-K_edgar_data_47217_0001047469-14-009977_1.txt,49934943,1788577,0.8297098755043815,28641570,3868281,556937,4.9997450487175,2135
./files\20150204_10-K_edgar_data_1467858_0001467858-15-000036_1.txt,46819360,1781009,2.116777624369108,27615976,4218367,690493,5.061837980605376,2187
./files\20150205_10-K_edgar_data_101829_0000101829-15-000005_1.txt,27624283,1173264,1.9946917317841508,16745672,2321273,362626,5.054298094887425,2152
./files\20150205_10-K_edgar_data_30554_0000030554-15-000004_1.txt,30369669,1241743,1.224407949148898,18080425,2684604,421685,4.997692759290771,1882
./files\20150210_10-K_edgar_data_731766_0000731766-15-000007_1.txt,28201532,1165412,2.1072376121062764,17059266,2449185,382498,5.058641922341627,2070
./files\20150212_10-K_edgar_data_12927_0000012927-15-000011_1.txt,29679276,1181070,1.8937912232128495,17819852,2569298,399573,4.992925059479963,1842
./files\20150212_10-K_edgar_data_66740_0001104659-15-009560_1.txt,37931756,1600592,0.9821366094545019,22103621,3334604,603369,4.787879734498236,1996
./files\20150212_10-K_edgar_data_86312_0001047469-15-000743_1.txt,40636541,1511254,1.1448770358920473,22959421,3427095,771258,4.936550705572988,2377
./files\20150213_10-K_edgar_data_50863_0000050863-15-000015_1.txt,36614898,1290573,2.16957893896742,20908850,3385107,572982,4.920012273617997,2070
./files\20150217_10-K_edgar_data_18230_0000018230-15-000061_1.txt,78512285,3274880,2.13812414500684,47681970,6610463,1118775,5.046325361539965,2392
./files\20150220_10-K_edgar_data_1103982_0001193125-15-055355_1.txt,22805919,746004,2.0235816429938716,12849255,1695901,332765,4.791317472828564,2129
