"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
./files\20160210_10-K_edgar_data_12927_0000012927-16-000099_1.txt,21300635,1589835,1.046775294291546,0.2955023634528111,0.720766620435454,0.27594058502926405,0.03887195841077848,0.03270779672104338,0.045916714627618586,0.10485364833457561,14458853,1430944,229919,1.5593190488321116,5.134593212503185,4149
./files\20160211_10-K_edgar_data_101829_0000101829-16-000050_1.txt,20210192,1562565,0.9561202253986234,0.33573003363060094,0.8475167433034786,0.3297782812235011,0.04262222691536032,0.026174911123697252,0.03468655703922717,0.09733995065805262,13809229,1290525,208610,1.5855065229286462,5.19203489134852,4227
./files\20160211_10-K_edgar_data_66740_0001558370-16-003162_1.txt,40011378,3371364,0.5175946590163506,0.16975325120633666,0.24598352476920318,0.1486342026550678,0.018212213216965003,0.01705541140025224,0.01328839009967479,0.05107724944562497,25676885,2682043,258231,1.479298883182,5.021078115563908,4533
./files\20160211_10-K_edgar_data_86312_0001047469-16-010107_1.txt,28580969,2226611,0.8079543305947918,0.43258566494102474,0.1748397003338257,0.4047406574385916,0.0611691939005062,0.03961176873733221,0.05896854008176552,0.13522793159649352,18293397,1590141,427276,1.477049650792168,4.93006950922276,5316
./files\20160212_10-K_edgar_data_50863_0000050863-16-000105_1.txt,29966726,1845735,0.8097045350497227,0.29240383912100054,1.0172641251317225,0.19011396543924236,0.02920245864113754,0.027468731968565367,0.023838741747867383,0.07818023714130143,18590201,2464380,449985,1.539668478952829,5.068013013785836,4704
./files\20160216_10-K_edgar_data_18230_0000018230-16-000410_1.txt,52080212,3533456,0.5661029881226765,0.18610674648276362,1.1818174614315275,0.11640161926453874,0.015565497348771289,0.016867338945213976,0.01567870096585326,0.044800331460190815,32153935,4003601,980493,1.5615023931244651,5.124703123514203,4482
./files\20160218_10-K_edgar_data_732717_0000732717-16-000147_1.txt,20521443,1578395,0.9407657778946334,0.24518577415665915,0.129625347267319,0.23194447524225556,0.03300821404021173,0.02274462349411903,0.042638249614323415,0.08591005420062785,13573703,1315729,271727,1.5296177446076553,4.994775072146073,4498
./files\20160219_10-K_edgar_data_1103982_0001193125-16-469394_1.txt,18431562,999267,1.840048755737956,0.6976113491189042,0.2558875655855742,0.40429634922398117,0.04843550322386309,0.03152310643701833,0.03812794778572694,0.1389018150304173,11694846,1116814,234244,1.568041374327382,4.989219097598539,4073
./files\20160219_10-K_edgar_data_4962_0001193125-16-469798_1.txt,25795480,2122573,0.769113712461244,0.35763198721551626,0.13987740350979683,0.22133514371472737,0.04414453590053204,0.03495757271952484,0.029115606389038214,0.09945476551336514,16982339,1618838,306719,1.4621523028889938,4.840233527892798,5119
./files\20160222_10-K_edgar_data_886982_0001193125-16-470289_1.txt,28826324,1785776,1.3359458297121252,0.8348751467149295,0.3905305032658071,0.4652879196494969,0.09581268871347806,0.07050156346596662,0.1077402764960443,0.31000528621730833,18352808,1820537,341318,1.6410378457320516,5.147524661547697,5580
./files\20160223_10-K_edgar_data_19617_0000019617-16-000902_1.txt,82343207,6517837,0.5804226156622205,0.2390516976720958,0.8672969268792698,0.13849686636839798,0.021019243040290823,0.021126640632467487,0.015925528668483117,0.07392022844388406,56134461,5012196,895414,1.563130529345855,5.14869764309847,5730
